lemma,global_position,sentence_id,local_word_id,original_text
mount,168,21,6,mounted
the,169,21,7,the
round,170,21,8,round
gunrest,171,21,9,gunrest
.,172,21,10,.
he,173,22,1,He
face,174,22,2,faced
about,175,22,3,about
and,176,22,4,and
bless,177,22,5,blessed
gravely,178,22,6,gravely
thrice,179,22,7,thrice
the,180,22,8,the
tower,181,22,9,tower
",",182,22,10,","
the,183,22,11,the
surround,184,22,12,surrounding
land,185,22,13,land
and,186,22,14,and
the,187,22,15,the
awake,188,22,16,awaking
mountain,189,22,17,mountains
.,190,22,18,.
then,191,23,1,Then
",",192,23,2,","
catching,193,23,3,catching
sight,194,23,4,sight
of,195,23,5,of
stephen,196,23,6,Stephen
dedalus,197,23,7,Dedalus
",",198,23,8,","
he,199,23,9,he
bend,200,23,10,bent
towards,201,23,11,towards
he,202,23,12,him
and,203,23,13,and
make,204,23,14,made
rapid,205,23,15,rapid
cross,206,23,16,crosses
in,207,23,17,in
the,208,23,18,the
air,209,23,19,air
",",210,23,20,","
gurgle,211,23,21,gurgling
in,212,23,22,in
his,213,23,23,his
throat,214,23,24,throat
and,215,23,25,and
shake,216,23,26,shaking
his,217,23,27,his
head,218,23,28,head
.,219,23,29,.
stephen,220,24,1,Stephen
dedalus,221,24,2,Dedalus
",",222,24,3,","
displease,223,24,4,displeased
and,224,24,5,and
sleepy,225,24,6,sleepy
",",226,24,7,","
learn,227,24,8,leaned
his,228,24,9,his
arm,229,24,10,arms
on,230,24,11,on
the,231,24,12,the
top,232,24,13,top
of,233,24,14,of
the,234,24,15,the
staircase,235,24,16,staircase
and,236,24,17,and
look,237,24,18,looked
coldly,238,24,19,coldly
at,239,24,20,at
the,240,24,21,the
shake,241,24,22,shaking
gurgle,242,24,23,gurgling
face,243,24,24,face
that,244,24,25,that
bless,245,24,26,blessed
he,246,24,27,him
",",247,24,28,","
equine,248,24,29,equine
in,249,24,30,in
its,250,24,31,its
length,251,24,32,length
",",252,24,33,","
and,253,24,34,and
at,254,24,35,at
the,255,24,36,the
light,256,24,37,light
untonsured,257,24,38,untonsured
hair,258,24,39,hair
",",259,24,40,","
grain,260,24,41,grained
and,261,24,42,and
hued,262,24,43,hued
like,263,24,44,like
pale,264,24,45,pale
oak,265,24,46,oak
.,266,24,47,.
buck,267,25,1,Buck
mulligan,268,25,2,Mulligan
peep,269,25,3,peeped
a,270,25,4,an
instant,271,25,5,instant
under,272,25,6,under
the,273,25,7,the
mirror,274,25,8,mirror
and,275,25,9,and
then,276,25,10,then
cover,277,25,11,covered
the,278,25,12,the
bowl,279,25,13,bowl
smartly,280,25,14,smartly
.,281,25,15,.
—,282,26,1,—
back,283,26,2,Back
to,284,26,3,to
barrack,285,26,4,barracks
!,286,26,5,!
he,287,27,1,he
say,288,27,2,said
sternly,289,27,3,sternly
.,290,27,4,.
he,291,28,1,He
add,292,28,2,added
in,293,28,3,in
a,294,28,4,a
preacher,295,28,5,preacher
's,296,28,6,’s
tone,297,28,7,tone
:,298,28,8,:
—,299,29,1,—
for,300,29,2,For
this,301,29,3,this
",",302,29,4,","
o,303,29,5,O
dearly,304,29,6,dearly
beloved,305,29,7,beloved
",",306,29,8,","
be,307,29,9,is
the,308,29,10,the
genuine,309,29,11,genuine
christine,310,29,12,Christine
:,311,29,13,:
body,312,29,14,body
and,313,29,15,and
soul,314,29,16,soul
and,315,29,17,and
blood,316,29,18,blood
and,317,29,19,and
oun,318,29,20,ouns
.,319,29,21,.
slow,320,30,1,Slow
music,321,30,2,music
",",322,30,3,","
please,323,30,4,please
.,324,30,5,.
shut,325,31,1,Shut
your,326,31,2,your
eye,327,31,3,eyes
",",328,31,4,","
gent,329,31,5,gents
.,330,31,6,.
one,331,32,1,One
moment,332,32,2,moment
.,333,32,3,.
a,334,33,1,A
little,335,33,2,little
trouble,336,33,3,trouble
about,337,33,4,about
that,338,33,5,those
white,339,33,6,white
corpuscle,340,33,7,corpuscles
.,341,33,8,.
silence,342,34,1,Silence
",",343,34,2,","
all,344,34,3,all
.,345,34,4,.
he,346,35,1,He
peer,347,35,2,peered
sideways,348,35,3,sideways
up,349,35,4,up
and,350,35,5,and
give,351,35,6,gave
a,352,35,7,a
long,353,35,8,long
slow,354,35,9,slow
whistle,355,35,10,whistle
of,356,35,11,of
call,357,35,12,call
",",358,35,13,","
then,359,35,14,then
pause,360,35,15,paused
awhile,361,35,16,awhile
in,362,35,17,in
rapt,363,35,18,rapt
attention,364,35,19,attention
",",365,35,20,","
his,366,35,21,his
even,367,35,22,even
white,368,35,23,white
tooth,369,35,24,teeth
glisten,370,35,25,glistening
here,371,35,26,here
and,372,35,27,and
there,373,35,28,there
with,374,35,29,with
gold,375,35,30,gold
point,376,35,31,points
.,377,35,32,.
chrysostomos,378,36,1,Chrysostomos
.,379,36,2,.
two,380,37,1,Two
strong,381,37,2,strong
shrill,382,37,3,shrill
whistle,383,37,4,whistles
answer,384,37,5,answered
through,385,37,6,through
the,386,37,7,the
calm,387,37,8,calm
.,388,37,9,.
—,389,38,1,—
thanks,390,38,2,Thanks
",",391,38,3,","
old,392,38,4,old
chap,393,38,5,chap
",",394,38,6,","
he,395,38,7,he
cry,396,38,8,cried
briskly,397,38,9,briskly
.,398,38,10,.
that,399,39,1,That
will,400,39,2,will
do,401,39,3,do
nicely,402,39,4,nicely
.,403,39,5,.
switch,404,40,1,Switch
off,405,40,2,off
the,406,40,3,the
current,407,40,4,current
",",408,40,5,","
will,409,40,6,will
you,410,40,7,you
?,411,40,8,?
he,412,41,1,He
skip,413,41,2,skipped
off,414,41,3,off
the,415,41,4,the
gunrest,416,41,5,gunrest
and,417,41,6,and
look,418,41,7,looked
gravely,419,41,8,gravely
at,420,41,9,at
his,421,41,10,his
watcher,422,41,11,watcher
",",423,41,12,","
gather,424,41,13,gathering
about,425,41,14,about
his,426,41,15,his
leg,427,41,16,legs
the,428,41,17,the
loose,429,41,18,loose
fold,430,41,19,folds
of,431,41,20,of
his,432,41,21,his
gown,433,41,22,gown
.,434,41,23,.
the,435,42,1,The
plump,436,42,2,plump
shadow,437,42,3,shadowed
face,438,42,4,face
and,439,42,5,and
sullen,440,42,6,sullen
oval,441,42,7,oval
jowl,442,42,8,jowl
recall,443,42,9,recalled
a,444,42,10,a
prelate,445,42,11,prelate
",",446,42,12,","
patron,447,42,13,patron
of,448,42,14,of
art,449,42,15,arts
in,450,42,16,in
the,451,42,17,the
middle,452,42,18,middle
age,453,42,19,ages
.,454,42,20,.
a,455,43,1,A
pleasant,456,43,2,pleasant
smile,457,43,3,smile
break,458,43,4,broke
quietly,459,43,5,quietly
over,460,43,6,over
his,461,43,7,his
lip,462,43,8,lips
.,463,43,9,.
—,464,44,1,—
the,465,44,2,The
mockery,466,44,3,mockery
of,467,44,4,of
it,468,44,5,it
!,469,44,6,!
he,470,45,1,he
say,471,45,2,said
gaily,472,45,3,gaily
.,473,45,4,.
your,474,46,1,Your
absurd,475,46,2,absurd
name,476,46,3,name
",",477,46,4,","
a,478,46,5,an
ancient,479,46,6,ancient
greek,480,46,7,Greek
!,481,46,8,!
he,482,47,1,He
point,483,47,2,pointed
his,484,47,3,his
finger,485,47,4,finger
in,486,47,5,in
friendly,487,47,6,friendly
jest,488,47,7,jest
and,489,47,8,and
go,490,47,9,went
over,491,47,10,over
to,492,47,11,to
the,493,47,12,the
parapet,494,47,13,parapet
",",495,47,14,","
laugh,496,47,15,laughing
to,497,47,16,to
himself,498,47,17,himself
.,499,47,18,.
stephen,500,48,1,Stephen
dedalus,501,48,2,Dedalus
step,502,48,3,stepped
up,503,48,4,up
",",504,48,5,","
follow,505,48,6,followed
he,506,48,7,him
wearily,507,48,8,wearily
halfway,508,48,9,halfway
and,509,48,10,and
sit,510,48,11,sat
down,511,48,12,down
on,512,48,13,on
the,513,48,14,the
edge,514,48,15,edge
of,515,48,16,of
the,516,48,17,the
gunrest,517,48,18,gunrest
",",518,48,19,","
watch,519,48,20,watching
he,520,48,21,him
still,521,48,22,still
as,522,48,23,as
he,523,48,24,he
proppe,524,48,25,propped
his,525,48,26,his
mirror,526,48,27,mirror
on,527,48,28,on
the,528,48,29,the
parapet,529,48,30,parapet
",",530,48,31,","
dip,531,48,32,dipped
the,532,48,33,the
brush,533,48,34,brush
in,534,48,35,in
the,535,48,36,the
bowl,536,48,37,bowl
and,537,48,38,and
lather,538,48,39,lathered
cheek,539,48,40,cheeks
and,540,48,41,and
neck,541,48,42,neck
.,542,48,43,.
buck,543,49,1,Buck
mulligan,544,49,2,Mulligan
's,545,49,3,’s
gay,546,49,4,gay
voice,547,49,5,voice
go,548,49,6,went
on,549,49,7,on
.,550,49,8,.
—,551,50,1,—
my,552,50,2,My
name,553,50,3,name
be,554,50,4,is
absurd,555,50,5,absurd
too,556,50,6,too
:,557,50,7,:
malachi,558,50,8,Malachi
mulligan,559,50,9,Mulligan
",",560,50,10,","
two,561,50,11,two
dactyl,562,50,12,dactyls
.,563,50,13,.
but,564,51,1,But
it,565,51,2,it
have,566,51,3,has
a,567,51,4,a
hellenic,568,51,5,Hellenic
ring,569,51,6,ring
",",570,51,7,","
have,571,51,8,has
not,572,51,9,n’t
it,573,51,10,it
?,574,51,11,?
trip,575,52,1,Tripping
and,576,52,2,and
sunny,577,52,3,sunny
like,578,52,4,like
the,579,52,5,the
buck,580,52,6,buck
himself,581,52,7,himself
.,582,52,8,.
we,583,53,1,We
must,584,53,2,must
go,585,53,3,go
to,586,53,4,to
athens,587,53,5,Athens
.,588,53,6,.
will,589,54,1,Will
you,590,54,2,you
come,591,54,3,come
if,592,54,4,if
i,593,54,5,I
can,594,54,6,can
get,595,54,7,get
the,596,54,8,the
aunt,597,54,9,aunt
to,598,54,10,to
fork,599,54,11,fork
out,600,54,12,out
twenty,601,54,13,twenty
quid,602,54,14,quid
?,603,54,15,?
he,604,55,1,He
lay,605,55,2,laid
the,606,55,3,the
brush,607,55,4,brush
aside,608,55,5,aside
and,609,55,6,and
",",610,55,7,","
laugh,611,55,8,laughing
with,612,55,9,with
delight,613,55,10,delight
",",614,55,11,","
cry,615,55,12,cried
:,616,55,13,:
—,617,56,1,—
will,618,56,2,Will
he,619,56,3,he
come,620,56,4,come
?,621,56,5,?
the,622,57,1,The
jejune,623,57,2,jejune
jesuit,624,57,3,jesuit
!,625,57,4,!
cease,626,58,1,Ceasing
",",627,58,2,","
he,628,58,3,he
begin,629,58,4,began
to,630,58,5,to
shave,631,58,6,shave
with,632,58,7,with
care,633,58,8,care
.,634,58,9,.
—,635,59,1,—
tell,636,59,2,Tell
i,637,59,3,me
",",638,59,4,","
mulligan,639,59,5,Mulligan
",",640,59,6,","
stephen,641,59,7,Stephen
say,642,59,8,said
quietly,643,59,9,quietly
.,644,59,10,.
—,645,60,1,—
yes,646,60,2,Yes
",",647,60,3,","
my,648,60,4,my
love,649,60,5,love
?,650,60,6,?
—,651,61,1,—
how,652,61,2,How
long,653,61,3,long
be,654,61,4,is
haines,655,61,5,Haines
go,656,61,6,going
to,657,61,7,to
stay,658,61,8,stay
in,659,61,9,in
this,660,61,10,this
tower,661,61,11,tower
?,662,61,12,?
buck,663,62,1,Buck
mulligan,664,62,2,Mulligan
show,665,62,3,showed
a,666,62,4,a
shaven,667,62,5,shaven
cheek,668,62,6,cheek
over,669,62,7,over
his,670,62,8,his
right,671,62,9,right
shoulder,672,62,10,shoulder
.,673,62,11,.
—,674,63,1,—
god,675,63,2,God
",",676,63,3,","
be,677,63,4,is
not,678,63,5,n’t
he,679,63,6,he
dreadful,680,63,7,dreadful
?,681,63,8,?
he,682,64,1,he
say,683,64,2,said
frankly,684,64,3,frankly
.,685,64,4,.
a,686,65,1,A
ponderous,687,65,2,ponderous
saxon,688,65,3,Saxon
.,689,65,4,.
he,690,66,1,He
think,691,66,2,thinks
you,692,66,3,you
be,693,66,4,’re
not,694,66,5,not
a,695,66,6,a
gentleman,696,66,7,gentleman
.,697,66,8,.
god,698,67,1,God
",",699,67,2,","
this,700,67,3,these
bloody,701,67,4,bloody
english,702,67,5,English
!,703,67,6,!
burst,704,68,1,Bursting
with,705,68,2,with
money,706,68,3,money
and,707,68,4,and
indigestion,708,68,5,indigestion
.,709,68,6,.
because,710,69,1,Because
he,711,69,2,he
come,712,69,3,comes
from,713,69,4,from
oxford,714,69,5,Oxford
.,715,69,6,.
you,716,70,1,You
know,717,70,2,know
",",718,70,3,","
dedalus,719,70,4,Dedalus
",",720,70,5,","
you,721,70,6,you
have,722,70,7,have
the,723,70,8,the
real,724,70,9,real
oxford,725,70,10,Oxford
manner,726,70,11,manner
.,727,70,12,.
he,728,71,1,He
can,729,71,2,ca
not,730,71,3,n’t
make,731,71,4,make
you,732,71,5,you
out,733,71,6,out
.,734,71,7,.
o,735,72,1,O
",",736,72,2,","
my,737,72,3,my
name,738,72,4,name
for,739,72,5,for
you,740,72,6,you
be,741,72,7,is
the,742,72,8,the
good,743,72,9,best
:,744,72,10,:
kinch,745,72,11,Kinch
",",746,72,12,","
the,747,72,13,the
knife,748,72,14,knife
-,749,72,15,-
blade,750,72,16,blade
.,751,72,17,.
he,752,73,1,He
shave,753,73,2,shaved
warily,754,73,3,warily
over,755,73,4,over
his,756,73,5,his
chin,757,73,6,chin
.,758,73,7,.
—,759,74,1,—
he,760,74,2,He
be,761,74,3,was
rave,762,74,4,raving
all,763,74,5,all
night,764,74,6,night
about,765,74,7,about
a,766,74,8,a
black,767,74,9,black
panther,768,74,10,panther
",",769,74,11,","
stephen,770,74,12,Stephen
say,771,74,13,said
.,772,74,14,.
where,773,75,1,Where
be,774,75,2,is
his,775,75,3,his
guncase,776,75,4,guncase
?,777,75,5,?
—,778,76,1,—
a,779,76,2,A
woful,780,76,3,woful
lunatic,781,76,4,lunatic
!,782,76,5,!
mulligan,783,77,1,Mulligan
say,784,77,2,said
.,785,77,3,.
be,786,78,1,Were
you,787,78,2,you
in,788,78,3,in
a,789,78,4,a
funk,790,78,5,funk
?,791,78,6,?
—,792,79,1,—
i,793,79,2,I
be,794,79,3,was
",",795,79,4,","
stephen,796,79,5,Stephen
say,797,79,6,said
with,798,79,7,with
energy,799,79,8,energy
and,800,79,9,and
grow,801,79,10,growing
fear,802,79,11,fear
.,803,79,12,.
out,804,80,1,Out
here,805,80,2,here
in,806,80,3,in
the,807,80,4,the
dark,808,80,5,dark
with,809,80,6,with
a,810,80,7,a
man,811,80,8,man
i,812,80,9,I
do,813,80,10,do
not,814,80,11,n’t
know,815,80,12,know
rave,816,80,13,raving
and,817,80,14,and
moan,818,80,15,moaning
to,819,80,16,to
himself,820,80,17,himself
about,821,80,18,about
shoot,822,80,19,shooting
a,823,80,20,a
black,824,80,21,black
panther,825,80,22,panther
.,826,80,23,.
you,827,81,1,You
save,828,81,2,saved
man,829,81,3,men
from,830,81,4,from
drown,831,81,5,drowning
.,832,81,6,.
i,833,82,1,I
be,834,82,2,’m
not,835,82,3,not
a,836,82,4,a
hero,837,82,5,hero
",",838,82,6,","
however,839,82,7,however
.,840,82,8,.
if,841,83,1,If
he,842,83,2,he
stay,843,83,3,stays
on,844,83,4,on
here,845,83,5,here
i,846,83,6,I
be,847,83,7,am
off,848,83,8,off
.,849,83,9,.
buck,850,84,1,Buck
mulligan,851,84,2,Mulligan
frown,852,84,3,frowned
at,853,84,4,at
the,854,84,5,the
lather,855,84,6,lather
on,856,84,7,on
his,857,84,8,his
razorblade,858,84,9,razorblade
.,859,84,10,.
he,860,85,1,He
hopp,861,85,2,hopped
down,862,85,3,down
from,863,85,4,from
his,864,85,5,his
perch,865,85,6,perch
and,866,85,7,and
begin,867,85,8,began
to,868,85,9,to
search,869,85,10,search
his,870,85,11,his
trouser,871,85,12,trouser
pocket,872,85,13,pockets
hastily,873,85,14,hastily
.,874,85,15,.
—,875,86,1,—
scutter,876,86,2,Scutter
!,877,86,3,!
he,878,86,4,he
cry,879,86,5,cried
thickly,880,86,6,thickly
.,881,86,7,.
he,882,87,1,He
come,883,87,2,came
over,884,87,3,over
to,885,87,4,to
the,886,87,5,the
gunrest,887,87,6,gunrest
and,888,87,7,and
",",889,87,8,","
thrust,890,87,9,thrusting
a,891,87,10,a
hand,892,87,11,hand
into,893,87,12,into
stephen,894,87,13,Stephen
's,895,87,14,’s
upper,896,87,15,upper
pocket,897,87,16,pocket
",",898,87,17,","
say,899,87,18,said
:,900,87,19,:
—,901,88,1,—
lend,902,88,2,Lend
we,903,88,3,us
a,904,88,4,a
loan,905,88,5,loan
of,906,88,6,of
your,907,88,7,your
noserag,908,88,8,noserag
to,909,88,9,to
wipe,910,88,10,wipe
my,911,88,11,my
razor,912,88,12,razor
.,913,88,13,.
stephen,914,89,1,Stephen
suffer,915,89,2,suffered
he,916,89,3,him
to,917,89,4,to
pull,918,89,5,pull
out,919,89,6,out
and,920,89,7,and
hold,921,89,8,hold
up,922,89,9,up
on,923,89,10,on
show,924,89,11,show
by,925,89,12,by
its,926,89,13,its
corner,927,89,14,corner
a,928,89,15,a
dirty,929,89,16,dirty
crumple,930,89,17,crumpled
handkerchief,931,89,18,handkerchief
.,932,89,19,.
buck,933,90,1,Buck
mulligan,934,90,2,Mulligan
wipe,935,90,3,wiped
the,936,90,4,the
razorblade,937,90,5,razorblade
neatly,938,90,6,neatly
.,939,90,7,.
then,940,91,1,Then
",",941,91,2,","
gaze,942,91,3,gazing
over,943,91,4,over
the,944,91,5,the
handkerchief,945,91,6,handkerchief
",",946,91,7,","
he,947,91,8,he
say,948,91,9,said
:,949,91,10,:
—,950,92,1,—
the,951,92,2,The
bard,952,92,3,bard
be,953,92,4,’s
noserag,954,92,5,noserag
!,955,92,6,!
a,956,93,1,A
new,957,93,2,new
art,958,93,3,art
colour,959,93,4,colour
for,960,93,5,for
our,961,93,6,our
irish,962,93,7,Irish
poet,963,93,8,poets
:,964,93,9,:
snotgreen,965,93,10,snotgreen
.,966,93,11,.
you,967,94,1,You
can,968,94,2,can
almost,969,94,3,almost
taste,970,94,4,taste
it,971,94,5,it
",",972,94,6,","
can,973,94,7,ca
not,974,94,8,n’t
you,975,94,9,you
?,976,94,10,?
he,977,95,1,He
mount,978,95,2,mounted
to,979,95,3,to
the,980,95,4,the
parapet,981,95,5,parapet
again,982,95,6,again
and,983,95,7,and
gaze,984,95,8,gazed
out,985,95,9,out
over,986,95,10,over
dublin,987,95,11,Dublin
bay,988,95,12,bay
",",989,95,13,","
his,990,95,14,his
fair,991,95,15,fair
oakpale,992,95,16,oakpale
hair,993,95,17,hair
stir,994,95,18,stirring
slightly,995,95,19,slightly
.,996,95,20,.
—,997,96,1,—
god,998,96,2,God
!,999,96,3,!
he,1000,97,1,he
say,1001,97,2,said
quietly,1002,97,3,quietly
.,1003,97,4,.
be,1004,98,1,Is
not,1005,98,2,n’t
the,1006,98,3,the
sea,1007,98,4,sea
what,1008,98,5,what
algy,1009,98,6,Algy
call,1010,98,7,calls
it,1011,98,8,it
:,1012,98,9,:
a,1013,98,10,a
great,1014,98,11,great
sweet,1015,98,12,sweet
mother,1016,98,13,mother
?,1017,98,14,?
the,1018,99,1,The
snotgreen,1019,99,2,snotgreen
sea,1020,99,3,sea
.,1021,99,4,.
the,1022,100,1,The
scrotumtightening,1023,100,2,scrotumtightening
sea,1024,100,3,sea
.,1025,100,4,.
_,1026,101,1,_
epi,1027,101,2,Epi
oinopa,1028,101,3,oinopa
ponton_,1029,101,4,ponton_
.,1030,101,5,.
ah,1031,102,1,Ah
",",1032,102,2,","
dedalus,1033,102,3,Dedalus
",",1034,102,4,","
the,1035,102,5,the
greek,1036,102,6,Greeks
!,1037,102,7,!
i,1038,103,1,I
must,1039,103,2,must
teach,1040,103,3,teach
you,1041,103,4,you
.,1042,103,5,.
you,1043,104,1,You
must,1044,104,2,must
read,1045,104,3,read
they,1046,104,4,them
in,1047,104,5,in
the,1048,104,6,the
original,1049,104,7,original
.,1050,104,8,.
_,1051,105,1,_
thalatta,1052,105,2,Thalatta
!,1053,105,3,!
thalatta,1054,106,1,Thalatta
!_,1055,106,2,!_
she,1056,107,1,She
be,1057,107,2,is
our,1058,107,3,our
great,1059,107,4,great
sweet,1060,107,5,sweet
mother,1061,107,6,mother
.,1062,107,7,.
come,1063,108,1,Come
and,1064,108,2,and
look,1065,108,3,look
.,1066,108,4,.
stephen,1067,109,1,Stephen
stand,1068,109,2,stood
up,1069,109,3,up
and,1070,109,4,and
go,1071,109,5,went
over,1072,109,6,over
to,1073,109,7,to
the,1074,109,8,the
parapet,1075,109,9,parapet
.,1076,109,10,.
lean,1077,110,1,Leaning
on,1078,110,2,on
it,1079,110,3,it
he,1080,110,4,he
look,1081,110,5,looked
down,1082,110,6,down
on,1083,110,7,on
the,1084,110,8,the
water,1085,110,9,water
and,1086,110,10,and
on,1087,110,11,on
the,1088,110,12,the
mailboat,1089,110,13,mailboat
clear,1090,110,14,clearing
the,1091,110,15,the
harbourmouth,1092,110,16,harbourmouth
of,1093,110,17,of
kingstown,1094,110,18,Kingstown
.,1095,110,19,.
—,1096,111,1,—
our,1097,111,2,Our
mighty,1098,111,3,mighty
mother,1099,111,4,mother
!,1100,111,5,!
buck,1101,112,1,Buck
mulligan,1102,112,2,Mulligan
say,1103,112,3,said
.,1104,112,4,.
he,1105,113,1,He
turn,1106,113,2,turned
abruptly,1107,113,3,abruptly
his,1108,113,4,his
grey,1109,113,5,grey
searching,1110,113,6,searching
eye,1111,113,7,eyes
from,1112,113,8,from
the,1113,113,9,the
sea,1114,113,10,sea
to,1115,113,11,to
stephen,1116,113,12,Stephen
's,1117,113,13,’s
face,1118,113,14,face
.,1119,113,15,.
—,1120,114,1,—
the,1121,114,2,The
aunt,1122,114,3,aunt
think,1123,114,4,thinks
you,1124,114,5,you
kill,1125,114,6,killed
your,1126,114,7,your
mother,1127,114,8,mother
",",1128,114,9,","
he,1129,114,10,he
say,1130,114,11,said
.,1131,114,12,.
that,1132,115,1,That
be,1133,115,2,’s
why,1134,115,3,why
she,1135,115,4,she
will,1136,115,5,wo
not,1137,115,6,n’t
let,1138,115,7,let
i,1139,115,8,me
have,1140,115,9,have
anything,1141,115,10,anything
to,1142,115,11,to
do,1143,115,12,do
with,1144,115,13,with
you,1145,115,14,you
.,1146,115,15,.
—,1147,116,1,—
someone,1148,116,2,Someone
kill,1149,116,3,killed
her,1150,116,4,her
",",1151,116,5,","
stephen,1152,116,6,Stephen
say,1153,116,7,said
gloomily,1154,116,8,gloomily
.,1155,116,9,.
—,1156,117,1,—
you,1157,117,2,You
could,1158,117,3,could
have,1159,117,4,have
knolt,1160,117,5,knelt
down,1161,117,6,down
",",1162,117,7,","
damn,1163,117,8,damn
it,1164,117,9,it
",",1165,117,10,","
kinch,1166,117,11,Kinch
",",1167,117,12,","
when,1168,117,13,when
your,1169,117,14,your
die,1170,117,15,dying
mother,1171,117,16,mother
ask,1172,117,17,asked
you,1173,117,18,you
",",1174,117,19,","
buck,1175,117,20,Buck
mulligan,1176,117,21,Mulligan
say,1177,117,22,said
.,1178,117,23,.
i,1179,118,1,I
be,1180,118,2,’m
hyperborean,1181,118,3,hyperborean
as,1182,118,4,as
much,1183,118,5,much
as,1184,118,6,as
you,1185,118,7,you
.,1186,118,8,.
but,1187,119,1,But
to,1188,119,2,to
think,1189,119,3,think
of,1190,119,4,of
your,1191,119,5,your
mother,1192,119,6,mother
begg,1193,119,7,begging
you,1194,119,8,you
with,1195,119,9,with
her,1196,119,10,her
last,1197,119,11,last
breath,1198,119,12,breath
to,1199,119,13,to
kneel,1200,119,14,kneel
down,1201,119,15,down
and,1202,119,16,and
pray,1203,119,17,pray
for,1204,119,18,for
her,1205,119,19,her
.,1206,119,20,.
and,1207,120,1,And
you,1208,120,2,you
refuse,1209,120,3,refused
.,1210,120,4,.
there,1211,121,1,There
be,1212,121,2,is
something,1213,121,3,something
sinister,1214,121,4,sinister
in,1215,121,5,in
you,1216,121,6,you
....,1217,121,7,....
he,1218,122,1,He
break,1219,122,2,broke
off,1220,122,3,off
and,1221,122,4,and
lather,1222,122,5,lathered
again,1223,122,6,again
lightly,1224,122,7,lightly
his,1225,122,8,his
far,1226,122,9,farther
